product-code,product-category,ProductName,list-price,your-price,brand,Description,ImageURL
VENBF36DD,"Air Conditioning, Cooling > Cooling Systems Adapters"," 
MAXX AIR 36"" DIRECT DRIVE COMMERCIAL FAN
",$448.64,$328.01,Ventamatic Ltd.,"<div id=""ProductDetail_ProductDetails_div"">
<span id=""product_description"" itemprop=""description"">
<strong>Features and Benefits</strong><ul> <li>2-speed, thermally protected PSC commercial motor </li> <li>2800 CFM on low setting; 9000 CFM on high setting </li> <li>The housing is 22 gauge steel for durability</li> <li>Grill is rust resistant and OSHA approved</li> <li>2 year warranty</li></ul><p>Versatility is the key to our commercial line of air circulators. The Maxx Air is a Big, Tough, and High Velocity fan. The 36” air circulator features a 2-speed, thermally protected PSC commercial motor. With two speeds sending air at 2800 CFM on low setting and 9000 CFM on high setting. The housing is 22 gauge steel for durability. The grill is rust resistant and OSHA approved. It also comes with an 8’ power cord. All Maxx Air units have a 2 year warranty.</p></span>
<div style=""height: 15px;""></div>
<div style=""clear: both;""></div>
</div>",https://cdn3.volusion.com/q6x9k.kju29/v/vspfiles/photos/VENBF36DD-2.jpg?v-cache=1570177117
FJC43655,"Air Conditioning, Cooling > Cooling Systems Adapters"," 
Heavy Duty Cooling System Pressure
",$610.24,$342.99,"FJC, Inc.","<div id=""ProductDetail_ProductDetails_div"">
<span id=""product_description"" itemprop=""description"">
<p><strong>Features &amp; Benefits:</strong></p> <ul> <li>FJC Heavy Duty Cooling System test and refill kit uses shop air to maintain constant pressure to the cooling system during testing and refill.</li> <li>4 Quick-disconnect vacuum attachment allows rapid refilling of the cooling system, and eliminates airlocks</li> <li>Our kit is designed for use with Freightliner, International, Kenworth, Peterbilt, Mack, Volvo, GMC and Sterling cooling systems.</li> <li>Our Kit includes heavy duty vehicle adapters, a pressure test regulator, a vacuum refill attachment with tubing, all in a durable storage case</li> <li>Our FJC Heavy Duty Cooling System Test and Refill Kit, Part# 43655 is proudly made in USA</li> </ul> <p> </p> <p> </p> <p> </p></span>
<div style=""height: 15px;""></div>
<div style=""clear: both;""></div>
</div>",https://cdn3.volusion.com/q6x9k.kju29/v/vspfiles/photos/FJC43655-2T.jpg?v-cache=1570177117
MSC43306,"Air Conditioning, Cooling > Cooling Systems Adapters"," 
Mastercool MSC43306 - Truck Cooling system pressure test kit
",$455.99,$377.77,Mastercool,"<div id=""ProductDetail_ProductDetails_div"">
<span id=""product_description"" itemprop=""description"">
<p><strong>Features &amp; Description:</strong></p> <ul> <li>Universal adapters to fit most large trucks</li> <li>Exposes external leaks in cooling system</li> <li>Exposes cracked blocks</li> <li>Exposes internal leaks in engine due to blown gaskets</li> <li>Packaged in blow molded case</li> </ul></span>
<div style=""height: 15px;""></div>
<div style=""clear: both;""></div>
</div>",https://cdn3.volusion.com/q6x9k.kju29/v/vspfiles/photos/MSC43306-2T.jpg?v-cache=1570177117
UVU570000,"Air Conditioning, Cooling > Cooling Systems Adapters"," 
UVIEW UVU570000 - VACUFILL ANTIFREEZE DRAIN AND FILL
","$1,878.19","$1,220.82",UVIEW,"<div id=""ProductDetail_ProductDetails_div"">
<span id=""product_description"" itemprop=""description"">
<h1>UVIEW UVU570000 </h1><br/><br/><p><b>Features and Benefits:</b></p> <ul> <li>Connects easily to most engine cooling systems-simply connect to radiator filler neck or reservoir tank. No need to    cut header hoses or disconnect radiator hoses</li> <li>Test for leaks-confirms system integrity, reduces chance of refilling a    leaky system</li> <li>Eliminates potential airlock problems-refill cooling system using ""Patented"" vacuum technology</li> <li>Refills in    seconds-quickly refill from new or used coolant reservoir. Accurately pre-mixes water and anti-freeze in convenient 3    gallon (11.3L) holding reservoir</li> <li>Safely stores used coolant in a large 12 gallon (45.4L) environmentally friendly holding    reservoir</li> <li>No electrical or moving parts</li> <li>Easy to operate</li> <li>Ideal for use with coolant flush chemicals</li> </ul> <p>The Most Economical Unit to Evacuate, Test and Refill Engine Cooling  Systems.</p> <p><b>Specifications:</b></p> <ul> <li>Height: 50 (127 cm)</li> <li>Width: 19 (45 cm)</li> <li>Length: 20 (51 cm)</li> <li>Weight: 49 lbs. (22.3 kg)</li> <li>Shop Air</li> <li>Requirements: 90    PSI (6.26 bar) 4.2 CFM</li> </ul></span>
<div style=""height: 15px;""></div>
<div style=""clear: both;""></div>
</div>",https://cdn3.volusion.com/q6x9k.kju29/v/vspfiles/photos/UVU570000-2.jpg?v-cache=1570177117
PTX80036-CAN,"Air Conditioning, Cooling > Valve Core Service Repair Tools"," 
Valve Grinding Compound EACH
",$5.54,$3.90,Permatex Inc,"<div id=""ProductDetail_ProductDetails_div"">
<span id=""product_description"" itemprop=""description"">
Permatex Valve Grinding Compound Aids Valve Grinding And Seating Operations To Remove Burrs, Surface Defects, Carbon, Gum And Corrosion. It Can Be Used For Lapping And Grinding Chromium. Mixes With Water To Form An Easy-To-Use Paste.  Use For Hand Or Machine Grinding.  Mixes W/Water To Form Easy-To-Use Paste.  Removes Surface Defects, Burrs, Corrosion, Carbon.</span>
<div style=""height: 15px;""></div>
<div style=""clear: both;""></div>
</div>",https://cdn3.volusion.com/q6x9k.kju29/v/vspfiles/photos/PTX80036-CAN-2T.jpg
PTX80037-CAN,"Air Conditioning, Cooling > Valve Core Service Repair Tools"," 
Valve Grinding Compound EACH
",$7.76,$6.01,Permatex Inc,"<div id=""ProductDetail_ProductDetails_div"">
<span id=""product_description"" itemprop=""description"">
<p></p> <ul><li> Aids valve grinding and seating operations</li><li> Mixes with water to form an easy-to-use paste</li><li> Can be used for lapping and grinding chromium</li><p>Valve Grinding Compound, 3 Ounce Tube Boxed</p></ul></span>
<div style=""height: 15px;""></div>
<div style=""clear: both;""></div>
</div>",https://cdn3.volusion.com/q6x9k.kju29/v/vspfiles/photos/PTX80037-CAN-2T.jpg
FJC2745,"Air Conditioning, Cooling > Valve Core Service Repair Tools"," 
Valve Core Remover Tool - Small
",$9.20,$6.86,"FJC, Inc.","<div id=""ProductDetail_ProductDetails_div"">
<span id=""product_description"" itemprop=""description"">
<h1>FJC, Inc. FJC2745 </h1><br/><br/>Valve Core Remover Tool - Small</span>
<div style=""height: 15px;""></div>
<div style=""clear: both;""></div>
</div>",https://cdn3.volusion.com/q6x9k.kju29/v/vspfiles/photos/FJC2745-2T.jpg?v-cache=1570177117
KTI71997,"Air Conditioning, Cooling > Valve Core Service Repair Tools"," 
Valve Nut Tool
",$7.94,$7.13,K Tool International,"<div id=""ProductDetail_ProductDetails_div"">
<span id=""product_description"" itemprop=""description"">
<h1>K Tool International KTI71997 </h1><br/><br/><p></p> <ul> <li>TPMS valve nut tool</li> <li>For 11mm and 12mm sensor nuts and grommets</li> <li>Vehicle manufacturers recommend replacing TPMS sensor nuts and grommets whenever a tire with TPMS is serviced</li> <li>The TPMS 4-way valve tool is a durable, all-in-one tool that can be used to remove sensor nuts and seat sensor grommets</li> </ul> <p>This ergonomically designed tool removes both 11mm and 12mm nuts and seats both beveled and nonbeveled grommets. </p></span>
<div style=""height: 15px;""></div>
<div style=""clear: both;""></div>
</div>",https://cdn3.volusion.com/q6x9k.kju29/v/vspfiles/templates/eauto/images/nophoto.gif?v-cache=1570177117
CPT2050498953,"Air Conditioning, Cooling > Valve Core Service Repair Tools"," 
Valve Assembly
",$11.51,$11.41,Chicago Pneumatic,"<div id=""ProductDetail_ProductDetails_div"">
<span id=""product_description"" itemprop=""description"">
<p></p> <ul><li>Valve Assembly</li><li>This part is compatible with CP7150 Air Hammer</li><li>Made of black plastic</li><li>Chicago Pneumatic Valve Assy</li><p>Valve Assembly</p></ul></span>
<div style=""height: 15px;""></div>
<div style=""clear: both;""></div>
</div>",https://cdn3.volusion.com/q6x9k.kju29/v/vspfiles/photos/CPT2050498953-2T.jpg?v-cache=1570177117
MSC58490-YF,"Air Conditioning, Cooling > Valve Core Service Repair Tools"," 
Valve core remover/installer for 1234yf
",$150.69,$108.81,Mastercool,"<div id=""ProductDetail_ProductDetails_div"">
<span id=""product_description"" itemprop=""description"">
<p><strong>Features &amp; Benefits:</strong></p> <ul> <li> Packaged in blow molded case</li> <li>Remove valve cores with no refrigerant loss</li> <li>Covers all valve cores 1234yf vehicles</li> <li>Heavy duty construction</li> </ul> <p> </p> <p> </p> <p> </p></span>
<div style=""height: 15px;""></div>
<div style=""clear: both;""></div>
</div>",https://cdn3.volusion.com/q6x9k.kju29/v/vspfiles/photos/MSC58490-YF-2T.jpg?v-cache=1570177117
FJC2850,"Air Conditioning, Cooling > Charging Scales"," 
FJC, Inc. FJC2850 - ELECTRONIC SCALE
",$312.21,$151.79,"FJC, Inc.","<div id=""ProductDetail_ProductDetails_div"">
<span id=""product_description"" itemprop=""description"">
<h1>FJC, Inc. FJC2850 </h1><br/><br/><p><strong>Features and Benifits:</strong></p> <ul> <li>9"" x 9"" Platform</li> <li>175 pound capacity (80 kg)</li> <li>Accurate to +/- 1/2 oz. or .5% of total weight whichever is greater</li> <li>15 minute auto shut off feature</li> <li>Extra large LCD display lbs./oz./kg.</li> <li>ABS carrying case</li> <li>Bubble key pad</li> <li>9V battery included</li> </ul></span>
<div style=""height: 15px;""></div>
<div style=""clear: both;""></div>
</div>",https://cdn3.volusion.com/q6x9k.kju29/v/vspfiles/photos/FJC2850-2T.jpg?v-cache=1570177117
TIF9030,"Air Conditioning, Cooling > Charging Scales"," 
TIF Instruments TIF9030 - REFRIGERANT CONTACT SCALE
",$219.95,$152.61,TIF Instruments,"<div id=""ProductDetail_ProductDetails_div"">
<span id=""product_description"" itemprop=""description"">
<h1>TIF Instruments TIF9030 </h1><br/><br/><p> </p> <ul> <li>Platform adapts to most existing tanks (9” x 9”) </li> <li>3 Control keys: ON/OFF, Automatic zeroing and measurement units</li> <li>Display provides lbs/oz; decimals lbs and Kilograms measurements</li> <li>High accuracy (±0.5 oz) and resolution (0.1oz) </li> <li>Capacity up to 220 lbs (100 Kg) </li> <li><font face=""Arial"" size=""-1""> <ul> <li>Charging and Recovery capabilities</li> <li><font face=""Arial"" size=""-1"">9V Battery powered </font></li> </ul> </font></li> </ul> <p>This is a new molded design, which is easy to carry and store.</p></span>
<div style=""height: 15px;""></div>
<div style=""clear: both;""></div>
</div>",https://cdn3.volusion.com/q6x9k.kju29/v/vspfiles/photos/TIF9030-2T.jpg?v-cache=1570177117
FJC10,"Air Conditioning, Cooling > Charging Scales"," 
FJC, Inc. FJC10 - Scale & Manifold Set
",$285.52,$157.88,"FJC, Inc.","<div id=""ProductDetail_ProductDetails_div"">
<span id=""product_description"" itemprop=""description"">
<h1>FJC, Inc. FJC10 </h1><br/><br/><p><strong>Features andBenefits:</strong></p> <ul> <li>Gauges are Professional quality</li> <li>Scale is user friendly</li> <li>Both are in conventinet cases</li> <li>175 lbs capacity on sale</li> <li>Gauge has sight glass and anti-flutter design</li> <li>Convenient Kit containing FJC2850 and FJC6760SPC60 gauge set</li> </ul></span>
<div style=""height: 15px;""></div>
<div style=""clear: both;""></div>
</div>",https://cdn3.volusion.com/q6x9k.kju29/v/vspfiles/photos/FJC10-2T.jpg?v-cache=1570177117
MSC66010,"Air Conditioning, Cooling > Charging Scales"," 
Mastercool MSC66010 - 50lb DOT tank without float and 1/2"" acme
",$317.77,$176.56,Mastercool,"<div id=""ProductDetail_ProductDetails_div"">
<span id=""product_description"" itemprop=""description"">
<h1>Mastercool MSC66010 </h1><br/><br/><p></p> <ul> <li>Powder coated cylinder for high gloss, durable finish</li> <li>Y-valve for liquid/vapor</li> <li>1/4"" opening for air purge valve</li> <li>Collar design for ease of handling</li> <li>Reusable and conforms to DOT-4BA400 specifications and ARI guidelines</li> </ul> <p>Pre-charged cylinder provides a clean, dry interior. Heavy duty construction.</p></span>
<div style=""height: 15px;""></div>
<div style=""clear: both;""></div>
</div>",https://cdn3.volusion.com/q6x9k.kju29/v/vspfiles/photos/MSC66010-2T.jpg?v-cache=1570177117
FJCKIT2,"Air Conditioning, Cooling > Charging Scales"," 
FJC, Inc. FJCKIT2 - A/C ELECTRONIC SCALE/GAUGE/THERM KIT
",$399.56,$238.82,"FJC, Inc.","<div id=""ProductDetail_ProductDetails_div"">
<span id=""product_description"" itemprop=""description"">
<h1>FJC, Inc. FJCKIT2 </h1><br/><br/><p></p> <ul> <li>Includes the FJC2850 electronic scale with carrying case</li> <li>Includes the FJC6715B R-134a Manifold gauge set with 72"" hoses and quick couplers</li> <li>Includes FJC2803 non contact thermometer</li> <li>3 tools sold in one kit</li> </ul> <p>Electronic scale is accurate to +/- 1/2oz, easy to read key pad. ABS Carrying Case, 175 lbs capacity. Brass Manifold with Anti-Flutter design. Non contact thermometer measures -67degrees F to 428 degrees 7, measures in Celsius or Fahrenheit.</p></span>
<div style=""height: 15px;""></div>
<div style=""clear: both;""></div>
</div>",https://cdn3.volusion.com/q6x9k.kju29/v/vspfiles/photos/FJCKIT2-2T.jpg?v-cache=1570177117
MSC66011,"Air Conditioning, Cooling > Charging Scales"," 
Mastercool MSC66011 - 50lb DOT tank with float switch and 1/2"" acme
",$316.67,$246.30,Mastercool,"<div id=""ProductDetail_ProductDetails_div"">
<span id=""product_description"" itemprop=""description"">
<h1>Mastercool MSC66011 </h1><br/><br/><p></p> <ul> <li>Powder coated cylinder for high gloss, durable finish</li> <li>Y-valve for liquid/vapor</li> <li>3/4"" NPT opening accepts 80% fill float switch shut-off device</li> <li>Collar design for ease of handling</li> <li>Reusable and conforms to DOT -4BA400 specifications and ARI guidelines</li> </ul> <p>Pre-charged cylinder provides a clean, dry interior. Heavy duty construction.</p></span>
<div style=""height: 15px;""></div>
<div style=""clear: both;""></div>
</div>",https://cdn3.volusion.com/q6x9k.kju29/v/vspfiles/photos/MSC66011-2T.jpg?v-cache=1570177117
MSC98310,"Air Conditioning, Cooling > Charging Scales"," 
Mastercool MSC98310 - Wireless refrigerant charging scale
",$416.66,$267.76,Mastercool,"<div id=""ProductDetail_ProductDetails_div"">
<span id=""product_description"" itemprop=""description"">
<h1>Mastercool MSC98310 </h1><br/><br/><p></p> <ul> <li>Wireless capability</li> <li>Programmable features</li> <li>240 lb capacity</li> <li>Heavy duty load cell</li> <li>Rugged design for years of use</li> </ul></span>
<div style=""height: 15px;""></div>
<div style=""clear: both;""></div>
</div>",https://cdn3.volusion.com/q6x9k.kju29/v/vspfiles/photos/MSC98310-2T.jpg?v-cache=1570177117
MSC98315,"Air Conditioning, Cooling > Charging Scales"," 
Mastercool MSC98315 - Wireless charging scale with solenoid
",$572.21,$370.47,Mastercool,"<div id=""ProductDetail_ProductDetails_div"">
<span id=""product_description"" itemprop=""description"">
<h1>Mastercool MSC98315 </h1><br/><br/><p></p> <ul> <li>Wireless charging capabilities</li> <li>Solenoid automatic on / off</li> <li>240 lb capacity</li> <li>Adjustable platform</li> <li>Heavy duty load cell</li> </ul> <p>Wireless refrigerant charging scale with solenoid for automatic on / off  of refrigerant flow.</p></span>
<div style=""height: 15px;""></div>
<div style=""clear: both;""></div>
</div>",https://cdn3.volusion.com/q6x9k.kju29/v/vspfiles/photos/MSC98315-2T.jpg?v-cache=1570177117
FJC4170,"Air Conditioning, Cooling > O Ring Kits"," 
O'RING
",$1.26,$0.66,"FJC, Inc.","<div id=""ProductDetail_ProductDetails_div"">
<span id=""product_description"" itemprop=""description"">
<span style=""font-face:Times New Roman;font-size:medium;""></span><p style=""margin:0in 0in 12pt;line-height:normal;""></p><ul><li><span style=""font-family:Arial,Helvetica,sans-serif;font-size:small;"">High-temperature HNBR construction</span></li><li><strong></strong><span style=""font-family:Arial,Helvetica,sans-serif;font-size:small;"">Resistant to aggressive chemicals and abrasion</span></li><li><span style=""font-family:Arial,Helvetica,sans-serif;font-size:small;"">Enhanced stability with exposure to heat and oxidation and Highly durable </span></li><li><span style=""font-family:Arial,Helvetica,sans-serif;font-size:small;"">Compatible with all AC systems</span></li><li><span style=""font-family:Arial,Helvetica,sans-serif;font-size:small;"">High quality OE replacement part </span></li></ul><p></p><p></p><p></p><span style=""font-face:Times New Roman;font-size:medium;""></span><p style=""background:white;margin:0in 0in 11.25pt;line-height:normal;vertical-align:baseline;""><span style=""font-family:Arial,Helvetica,sans-serif;font-size:small;mso-fareast-font-family:'Times New Roman';"">FJC is your “one-stop-shop” for o-rings and gaskets We offer o-ring/gasket kits and assortments, replacement o-rings and o-ring picks and lubricants All o-rings are high temperature HNBR</span></p><span style=""font-face:Times New Roman;font-size:medium;""></span><span style=""font-face:Times New Roman;font-size:medium;""> </span><br/></span>
<div style=""height: 15px;""></div>
<div style=""clear: both;""></div>
</div>",https://cdn3.volusion.com/q6x9k.kju29/v/vspfiles/photos/FJC4170-2T.jpg
FJC4061,"Air Conditioning, Cooling > O Ring Kits"," 
GM SEALING WASHER
",$5.26,$1.96,"FJC, Inc.","<div id=""ProductDetail_ProductDetails_div"">
<span id=""product_description"" itemprop=""description"">
<p>Gm Sealing Washer</p></span>
<div style=""height: 15px;""></div>
<div style=""clear: both;""></div>
</div>",https://cdn3.volusion.com/q6x9k.kju29/v/vspfiles/photos/FJC4061-2T.jpg
FJC4063,"Air Conditioning, Cooling > O Ring Kits"," 
GM SEALING WASHER
",$12.62,$4.56,"FJC, Inc.","<div id=""ProductDetail_ProductDetails_div"">
<span id=""product_description"" itemprop=""description"">
<p></p> <ul><li>Safco Products 4063 Tuff Truck Large Platform Utility Hand Truck, Gray</li><li>No job is too Tuff. The Tuff Truck Large Platform Truck has a solid, all-welded steel frame with durable powder coat finish that is rated up to 500 lbs. Large 24W x 36""D platform with anti-skid mat. 3/4"" wrap-around vinyl bumper protects doors and furniture from damage. Folding handle for easy storage. Strong, chip-resistant powder coat finish with black vinyl trim. Mobile on 4"" solid rubber casters (two swivel) provides easy maneuverability on any surface.""</li><li> Tuff Truck large platform utility hand truck provides easy maneuverability on any surface</li></ul></span>
<div style=""height: 15px;""></div>
<div style=""clear: both;""></div>
</div>",https://cdn3.volusion.com/q6x9k.kju29/v/vspfiles/photos/FJC4063-2T.jpg
OTC10273-PK5,"Air Conditioning, Cooling > O Ring Kits"," 
Pk 5,O Ring-114-Ntrle-70
",$7.93,$6.37,OTC,"<div id=""ProductDetail_ProductDetails_div"">
<span id=""product_description"" itemprop=""description"">
<p>Pk 5,O Ring-114-Ntrle-70</p></span>
<div style=""height: 15px;""></div>
<div style=""clear: both;""></div>
</div>",https://cdn3.volusion.com/q6x9k.kju29/v/vspfiles/photos/OTC10273-PK5-2T.jpg
